page,x0,y0,x1,y1,uri,text
2,574.9874877929688,547.2000122070312,684.7124633789062,558.5999755859375,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-03-Staff-roles-and-responsibilities.aspx#3.1-academic-teaching-teams,3.1 Academic teaching teams
2,574.9874877929688,579.9749755859375,770.9249877929688,591.375,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-03-Staff-roles-and-responsibilities.aspx#3.2-professional-services-teaching-and-learning-team,3.2 Professional services teaching and learning team
3,28.5,19.23748779296875,184.53749084472656,30.63751220703125,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-01-Introduction-and-welcome.aspx#1.3-teaching-and-learning-team-welcome,1.3 Teaching and Learning Team welcome
3,28.5,52.01251220703125,153.1875,63.4124755859375,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-01-Introduction-and-welcome.aspx#1.4-about-the-student-handbook,1.4 About the Student Handbook
3,301.3874816894531,8.54998779296875,540.0750122070312,19.95001220703125,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-02-Introduction-to-the-Department-and-Faculty.aspx#2.2-faculty-of-engineering-sciences-and-its-relationship-with-the-department,2.2 Faculty of Engineering Sciences and its relationship with the department
3,301.3874816894531,19.95001220703125,346.2749938964844,31.3499755859375,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-02-Introduction-to-the-Department-and-Faculty.aspx#2.2-faculty-of-engineering-sciences-and-its-relationship-with-the-department,2.2 Faculty of department
3,301.3874816894531,50.5875244140625,461.6999816894531,61.98748779296875,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-02-Introduction-to-the-Department-and-Faculty.aspx#2.3-key-staff-in-the-department-and-faculty,2.3 Key staff in the department and faculty
3,301.3874816894531,83.36248779296875,490.1999816894531,94.76251220703125,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-02-Introduction-to-the-Department-and-Faculty.aspx#2.4-key-staff-relating-to-programmes-and-modules,2.4 Key staff relating to programmes and modules
3,574.9874877929688,19.23748779296875,700.3875122070312,30.63751220703125,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-03-Staff-roles-and-responsibilities.aspx#3.3-staff-roles-and-responsibilities,3.3 Staff roles and responsibilities
3,28.5,263.625,101.88749694824219,275.0249938964844,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-04-Key-dates.aspx,Section 4 Key dates
3,28.5,296.3999938964844,83.36249542236328,307.79998779296875,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-04-Key-dates.aspx#4.1-term-dates,4.1 Term dates
3,28.5,329.17498779296875,181.6875,340.5749816894531,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-04-Key-dates.aspx#4.2-assessment-and-examination-periods,4.2 Assessment and examination periods
3,28.5,361.9499816894531,232.98748779296875,373.3500061035156,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-04-Key-dates.aspx#4.3-department-and-faculty-level-events-and-key-dates,4.3 Department and faculty-level events and key dates
3,301.3874816894531,263.625,394.0124816894531,275.0249938964844,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-05-Hours-of-study.aspx,Section 5 Hours of study
3,301.3874816894531,296.3999938964844,397.5749816894531,307.79998779296875,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-05-Hours-of-study.aspx#5.1-teaching-and-learning,5.1 Teaching and learning
3,301.3874816894531,329.17498779296875,369.7875061035156,340.5749816894531,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-05-Hours-of-study.aspx#5.2-personal-study,5.2 Personal study
3,301.3874816894531,361.9499816894531,424.6499938964844,373.3500061035156,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-05-Hours-of-study.aspx#5.3-attendance-and-engagement,5.3 Attendance and engagement
3,574.9874877929688,263.625,726.75,275.0249938964844,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-06-UCL's-expectations-of-students.aspx,Section 6 UCL's expectations of students
3,574.9874877929688,296.3999938964844,669.75,307.79998779296875,https://liveuclac.sharepoint.com/sites/CSCStudentIntranet/CS-StudentHandbook/SitePages/Section-06-UCL's-expectations-of-students.aspx#6.1-ucl-code-of-conduct,6.1 UCL Code of Conduct
